Method \ Size;50;100;150;200;250;300;
Bubble Sort Random nums 0-5;15475;92271;112139;211945;315866;447045;
Bubble Sort Random nums 0-4000;11423;48971;118943;216259;487054;482216;
Bubble Sort Reverse arr;14695;59543;129603;226721;391483;522626;
Bubble Sort Almost sort arr;8356;32500;120591;129242;205430;307706;
Counting Sort Random nums 0-5;3146;6763;5931;7538;8948;10702;
Counting Sort Random nums 0-4000;66402;66274;68547;69673;71305;84163;
Counting Sort Reverse arr;3927;8201;8178;10619;13392;15789;
Counting Sort Almost sort arr;3685;5914;8099;12199;12579;17549;
Heap Sort Random nums 0-5;13876;33039;57606;86696;116870;137752;
Heap Sort Random nums 0-4000;13316;36446;66656;102248;142214;154293;
Heap Sort Reverse arr;11953;34046;60591;81032;116400;147650;
Heap Sort Almost sort arr;14774;39991;67194;94515;127609;196466;
Insertion Sort Random nums 0-5;8385;21739;39761;77366;163531;257457;
Insertion Sort Random nums 0-4000;8177;33736;55828;115606;116403;161094;
Insertion Sort Reverse arr;10034;39361;86665;155134;253062;357340;
Insertion Sort Almost sort arr;444;832;1223;1996;3027;3637;
Merge Sort Random nums 0-5;30518;58519;91698;112846;132943;169191;
Merge Sort Random nums 0-4000;20629;44000;73674;100396;119826;189533;
Merge Sort Reverse arr;17865;37879;66448;82694;100334;131633;
Merge Sort Almost sort arr;29915;63590;110151;134327;152779;138384;
Quick Sort Random nums 0-5;7745;17525;24620;30653;38484;48463;
Quick Sort Random nums 0-4000;5275;12240;24207;32494;46474;56934;
Quick Sort Reverse arr;4672;22070;17227;19267;22260;25869;
Quick Sort Almost sort arr;2844;7777;9438;16041;15477;20895;
Radix Sort Random nums 0-5;8957;15079;21196;29887;33557;42869;
Radix Sort Random nums 0-4000;18955;35254;50670;66898;83644;104301;
Radix Sort Reverse arr;22047;39160;52769;68849;85094;110448;
Radix Sort Almost sort arr;12451;26457;41558;54199;66330;82946;
Select Sort Random nums 0-5;16225;50959;88911;153380;238410;328830;
Select Sort Random nums 0-4000;9581;38548;85166;152033;232053;353624;
Select Sort Reverse arr;10776;40168;85157;149028;231002;330816;
Select Sort Almost sort arr;9046;39740;81091;146221;224307;344351;
